,action,cost,state
0,[-0.22712218],-4.0,[ 0.         -0.03633955  0.         -0.09084887]
1,[-1.],-4.0,[-3.63395488e-04 -1.96281406e-01 -9.08488720e-04 -4.90703514e-01]
2,[-0.61700506],-3.999998123022002,[-0.00232621 -0.29474112 -0.00581552 -0.73707573]
3,[0.37898588],-3.999923087972904,[-0.00527362 -0.23396809 -0.01318628 -0.58657342]
4,[-0.79711326],-3.9996046073814053,[-0.0076133  -0.36188447 -0.01905202 -0.90957372]
5,[0.01592865],-3.99917479822344,[-0.01123215 -0.35984176 -0.02814775 -0.90914486]
6,[-0.15871586],-3.9981995854481744,[-0.01483056 -0.38624976 -0.0372392  -0.98204807]
7,[-0.55910406],-3.996850687141604,[-0.01869306 -0.47711877 -0.04705968 -1.2182032 ]
8,[-0.56916423],-3.994974768446525,[-0.02346425 -0.56989958 -0.05924171 -1.46144732]
9,[-0.22450309],-3.992044308535888,[-0.02916325 -0.60800695 -0.07385619 -1.57108396]
10,[-0.35363323],-3.987649763751906,[-0.03524331 -0.66732036 -0.08956703 -1.73707846]
11,[-0.15810186],-3.9818628950801003,[-0.04191652 -0.69601256 -0.10693781 -1.83048074]
12,[0.20258081],-3.974190389379089,[-0.04887664 -0.66807153 -0.12524262 -1.78723042]
13,[-0.3798612],-3.964670931642084,[-0.05555736 -0.73351249 -0.14311492 -1.98021813]
14,[0.06133995],-3.9539780259602484,[-0.06289248 -0.72954826 -0.1629171  -2.00542377]
15,[0.24296757],-3.9405243292787095,[-0.07018797 -0.69787077 -0.18297134 -1.96709815]
16,[0.65851949],-3.9252131984291,[-0.07716667 -0.60214448 -0.20264232 -1.77644648]
17,[0.90432515],-3.908584512686313,[-0.08318812 -0.46979667 -0.22040679 -1.50175604]
18,[0.87478981],-3.892258471516221,[-0.08788609 -0.34407077 -0.23542435 -1.24871783]
19,[0.47728898],-3.8775646415972522,[-0.09132679 -0.28168209 -0.24791153 -1.15431282]
20,[0.11974214],-3.8648014494288465,[-0.09414361 -0.27552613 -0.25945466 -1.19963419]
21,[0.60556802],-3.8525764331961923,[-0.09689888 -0.19509487 -0.271451   -1.06827   ]
22,[1.],-3.8393882643519275,[-0.09884982 -0.05529833 -0.2821337  -0.79740183]
23,[1.],-3.8273524995236445,[-0.09940281  0.08302696 -0.29010772 -0.5336094 ]
24,[0.75981422],-3.8183907126447645,[-0.09857254  0.1835733  -0.29544381 -0.36297398]
25,[0.64333656],-3.8126558860402833,[-0.09673681  0.26571514 -0.29907355 -0.23799763]
26,[0.3956071],-3.809099601723646,[-0.09407965  0.30974459 -0.30145353 -0.20514309]
27,[0.05865673],-3.8071857795845796,[-0.09098221  0.30235019 -0.30350496 -0.29568651]
28,[0.68445279],-3.805741453034595,[-0.08795871  0.38994286 -0.30646182 -0.16008525]
29,[0.61343421],-3.8031665000452164,[-0.08405928  0.46636636 -0.30806267 -0.05199271]
30,[1.],-3.8023749650290912,[-0.07939561  0.60116215 -0.3085826   0.19469342]
31,[0.09596193],-3.8030034322895996,[-0.07338399  0.59867047 -0.30663567  0.11419802]
32,[0.63438535],-3.8067985436862135,[-0.06739729  0.67793481 -0.30549369  0.22901066]
